p1	p2	genotype
SAM15	SAM20	SAM15xSAM20
SAM15	SAM21	SAM15xSAM21
SAM15	SAM24	SAM15xSAM24
SAM15	SAM25	SAM15xSAM25
SAM15	SAM26	SAM15xSAM26
SAM15	SAM28	SAM15xSAM28
SAM15	SAM29	SAM15xSAM29
SAM15	SAM30	SAM15xSAM30
SAM15	SAM35	SAM15xSAM35
SAM15	SAM36	SAM15xSAM36
SAM15	SAM37	SAM15xSAM37
SAM15	SAM38	SAM15xSAM38
SAM15	SAM39	SAM15xSAM39
SAM15	SAM40	SAM15xSAM40
SAM15	SAM41	SAM15xSAM41
SAM15	SAM43	SAM15xSAM43
SAM15	SAM45	SAM15xSAM45
SAM15	SAM46	SAM15xSAM46
SAM15	SAM47	SAM15xSAM47
SAM15	SAM49	SAM15xSAM49
SAM15	SAM51	SAM15xSAM51
SAM15	SAM52	SAM15xSAM52
SAM15	SAM53	SAM15xSAM53
SAM15	SAM54	SAM15xSAM54
SAM15	SAM55	SAM15xSAM55
SAM15	SAM56	SAM15xSAM56
SAM15	SAM57	SAM15xSAM57
SAM15	SAM58	SAM15xSAM58
SAM15	SAM59	SAM15xSAM59
SAM17	SAM18	SAM17xSAM18
SAM17	SAM19	SAM17xSAM19
SAM17	SAM20	SAM17xSAM20
SAM17	SAM21	SAM17xSAM21
SAM17	SAM24	SAM17xSAM24
SAM17	SAM25	SAM17xSAM25
SAM17	SAM26	SAM17xSAM26
SAM17	SAM28	SAM17xSAM28
SAM17	SAM29	SAM17xSAM29
SAM17	SAM30	SAM17xSAM30
SAM17	SAM35	SAM17xSAM35
SAM17	SAM36	SAM17xSAM36
SAM17	SAM37	SAM17xSAM37
SAM17	SAM38	SAM17xSAM38
SAM17	SAM39	SAM17xSAM39
SAM17	SAM40	SAM17xSAM40
SAM17	SAM41	SAM17xSAM41
SAM17	SAM43	SAM17xSAM43
SAM17	SAM45	SAM17xSAM45
SAM17	SAM46	SAM17xSAM46
SAM17	SAM47	SAM17xSAM47
SAM17	SAM49	SAM17xSAM49
SAM17	SAM51	SAM17xSAM51
SAM17	SAM52	SAM17xSAM52
SAM17	SAM53	SAM17xSAM53
SAM17	SAM54	SAM17xSAM54
SAM17	SAM55	SAM17xSAM55
SAM17	SAM56	SAM17xSAM56
SAM17	SAM57	SAM17xSAM57
SAM17	SAM58	SAM17xSAM58
SAM17	SAM59	SAM17xSAM59
SAM18	SAM19	SAM18xSAM19
SAM18	SAM20	SAM18xSAM20
SAM18	SAM21	SAM18xSAM21
SAM18	SAM24	SAM18xSAM24
SAM18	SAM25	SAM18xSAM25
SAM18	SAM26	SAM18xSAM26
SAM18	SAM28	SAM18xSAM28
SAM18	SAM29	SAM18xSAM29
SAM18	SAM30	SAM18xSAM30
SAM18	SAM35	SAM18xSAM35
SAM18	SAM36	SAM18xSAM36
SAM18	SAM37	SAM18xSAM37
SAM18	SAM38	SAM18xSAM38
SAM18	SAM39	SAM18xSAM39
SAM18	SAM40	SAM18xSAM40
SAM18	SAM41	SAM18xSAM41
SAM18	SAM43	SAM18xSAM43
SAM18	SAM45	SAM18xSAM45
SAM18	SAM46	SAM18xSAM46
SAM18	SAM47	SAM18xSAM47
SAM18	SAM49	SAM18xSAM49
SAM18	SAM51	SAM18xSAM51
SAM18	SAM52	SAM18xSAM52
SAM18	SAM53	SAM18xSAM53
SAM18	SAM54	SAM18xSAM54
SAM18	SAM55	SAM18xSAM55
SAM18	SAM56	SAM18xSAM56
SAM18	SAM57	SAM18xSAM57
SAM18	SAM58	SAM18xSAM58
SAM18	SAM59	SAM18xSAM59
SAM19	SAM20	SAM19xSAM20
SAM19	SAM21	SAM19xSAM21
SAM19	SAM24	SAM19xSAM24
SAM19	SAM25	SAM19xSAM25
SAM19	SAM26	SAM19xSAM26
SAM19	SAM28	SAM19xSAM28
SAM19	SAM29	SAM19xSAM29
SAM19	SAM30	SAM19xSAM30
SAM19	SAM35	SAM19xSAM35
SAM19	SAM36	SAM19xSAM36
SAM19	SAM37	SAM19xSAM37
SAM19	SAM38	SAM19xSAM38
SAM19	SAM39	SAM19xSAM39
SAM19	SAM40	SAM19xSAM40
SAM19	SAM41	SAM19xSAM41
SAM19	SAM43	SAM19xSAM43
SAM19	SAM45	SAM19xSAM45
SAM19	SAM46	SAM19xSAM46
SAM19	SAM47	SAM19xSAM47
SAM19	SAM49	SAM19xSAM49
SAM19	SAM51	SAM19xSAM51
SAM19	SAM52	SAM19xSAM52
SAM19	SAM53	SAM19xSAM53
SAM19	SAM54	SAM19xSAM54
SAM19	SAM55	SAM19xSAM55
SAM19	SAM56	SAM19xSAM56
SAM19	SAM57	SAM19xSAM57
SAM19	SAM58	SAM19xSAM58
SAM19	SAM59	SAM19xSAM59
SAM20	SAM21	SAM20xSAM21
SAM20	SAM24	SAM20xSAM24
SAM20	SAM25	SAM20xSAM25
SAM20	SAM26	SAM20xSAM26
SAM20	SAM28	SAM20xSAM28
SAM20	SAM29	SAM20xSAM29
SAM20	SAM30	SAM20xSAM30
SAM20	SAM35	SAM20xSAM35
SAM20	SAM36	SAM20xSAM36
SAM20	SAM37	SAM20xSAM37
SAM20	SAM38	SAM20xSAM38
SAM20	SAM39	SAM20xSAM39
SAM20	SAM40	SAM20xSAM40
SAM20	SAM41	SAM20xSAM41
SAM20	SAM43	SAM20xSAM43
SAM20	SAM45	SAM20xSAM45
SAM20	SAM46	SAM20xSAM46
SAM20	SAM47	SAM20xSAM47
SAM20	SAM49	SAM20xSAM49
SAM20	SAM51	SAM20xSAM51
SAM20	SAM52	SAM20xSAM52
SAM20	SAM53	SAM20xSAM53
SAM20	SAM54	SAM20xSAM54
SAM20	SAM55	SAM20xSAM55
SAM20	SAM56	SAM20xSAM56
SAM20	SAM57	SAM20xSAM57
SAM20	SAM58	SAM20xSAM58
SAM20	SAM59	SAM20xSAM59
SAM21	SAM24	SAM21xSAM24
SAM21	SAM25	SAM21xSAM25
SAM21	SAM26	SAM21xSAM26
SAM21	SAM28	SAM21xSAM28
SAM21	SAM29	SAM21xSAM29
SAM21	SAM30	SAM21xSAM30
SAM21	SAM35	SAM21xSAM35
SAM21	SAM36	SAM21xSAM36
SAM21	SAM37	SAM21xSAM37
SAM21	SAM38	SAM21xSAM38
SAM21	SAM39	SAM21xSAM39
SAM21	SAM40	SAM21xSAM40
SAM21	SAM41	SAM21xSAM41
SAM21	SAM43	SAM21xSAM43
SAM21	SAM45	SAM21xSAM45
SAM21	SAM46	SAM21xSAM46
SAM21	SAM47	SAM21xSAM47
SAM21	SAM49	SAM21xSAM49
SAM21	SAM51	SAM21xSAM51
SAM21	SAM52	SAM21xSAM52
SAM21	SAM53	SAM21xSAM53
SAM21	SAM54	SAM21xSAM54
SAM21	SAM55	SAM21xSAM55
SAM21	SAM56	SAM21xSAM56
SAM21	SAM57	SAM21xSAM57
SAM21	SAM58	SAM21xSAM58
SAM21	SAM59	SAM21xSAM59
SAM24	SAM25	SAM24xSAM25
SAM24	SAM26	SAM24xSAM26
SAM24	SAM28	SAM24xSAM28
SAM24	SAM29	SAM24xSAM29
SAM24	SAM30	SAM24xSAM30
SAM24	SAM35	SAM24xSAM35
SAM24	SAM36	SAM24xSAM36
SAM24	SAM37	SAM24xSAM37
SAM24	SAM38	SAM24xSAM38
SAM24	SAM39	SAM24xSAM39
SAM24	SAM40	SAM24xSAM40
SAM24	SAM41	SAM24xSAM41
SAM24	SAM43	SAM24xSAM43
SAM24	SAM45	SAM24xSAM45
SAM24	SAM46	SAM24xSAM46
SAM24	SAM47	SAM24xSAM47
SAM24	SAM49	SAM24xSAM49
SAM24	SAM51	SAM24xSAM51
SAM24	SAM52	SAM24xSAM52
SAM24	SAM53	SAM24xSAM53
SAM24	SAM54	SAM24xSAM54
SAM24	SAM55	SAM24xSAM55
SAM24	SAM56	SAM24xSAM56
SAM24	SAM57	SAM24xSAM57
SAM24	SAM58	SAM24xSAM58
SAM24	SAM59	SAM24xSAM59
SAM25	SAM26	SAM25xSAM26
SAM25	SAM28	SAM25xSAM28
SAM25	SAM29	SAM25xSAM29
SAM25	SAM30	SAM25xSAM30
SAM25	SAM35	SAM25xSAM35
SAM25	SAM36	SAM25xSAM36
SAM25	SAM37	SAM25xSAM37
SAM25	SAM38	SAM25xSAM38
SAM25	SAM39	SAM25xSAM39
SAM25	SAM40	SAM25xSAM40
SAM25	SAM41	SAM25xSAM41
SAM25	SAM43	SAM25xSAM43
SAM25	SAM45	SAM25xSAM45
SAM25	SAM46	SAM25xSAM46
SAM25	SAM47	SAM25xSAM47
SAM25	SAM49	SAM25xSAM49
SAM25	SAM51	SAM25xSAM51
SAM25	SAM52	SAM25xSAM52
SAM25	SAM53	SAM25xSAM53
SAM25	SAM54	SAM25xSAM54
SAM25	SAM55	SAM25xSAM55
