Genotype,gHat,log2vol,Fix,P1,P2
SAM10xSAM49,19.9411569124,-9,1,SAM10,SAM49
SAM35xSAM53,19.9417588746,-9,1,SAM35,SAM53
SAM35xSAM36,19.9418490229,-9,1,SAM35,SAM36
SAM38xSAM43,19.9420601649,-9,1,SAM38,SAM43
SAM19xSAM54,19.9424090495,-9,1,SAM19,SAM54
SAM17xSAM49,19.9425008705,-9,1,SAM17,SAM49
SAM35xSAM45,19.9433282426,-9,1,SAM35,SAM45
SAM30xSAM35,19.9433781391,-9,1,SAM30,SAM35
SAM11xSAM20,19.9440755433,-9,1,SAM11,SAM20
SAM9xSAM20,19.945089137,-9,1,SAM9,SAM20
SAM15xSAM51,19.9451308416,-9,1,SAM15,SAM51
SAM37xSAM54,19.9454146715,-9,1,SAM37,SAM54
SAM29xSAM49,19.9461886862,-9,1,SAM29,SAM49
SAM25xSAM51,19.9473875685,-9,1,SAM25,SAM51
SAM24xSAM46,19.9483128766,-9,1,SAM24,SAM46
SAM21xSAM52,19.9488376452,-9,1,SAM21,SAM52
SAM26xSAM49,19.9489189012,-9,1,SAM26,SAM49
SAM18xSAM41,19.9489252044,-9,1,SAM18,SAM41
