p1	p2	genotype
SAM339	SAM347	SAM339xSAM347
SAM339	SAM348	SAM339xSAM348
SAM339	SAM349	SAM339xSAM349
SAM339	SAM350	SAM339xSAM350
SAM339	SAM351	SAM339xSAM351
SAM339	SAM352	SAM339xSAM352
SAM339	SAM353	SAM339xSAM353
SAM339	SAM354	SAM339xSAM354
SAM339	SAM355	SAM339xSAM355
SAM339	SAM356	SAM339xSAM356
SAM339	SAM357	SAM339xSAM357
SAM339	SAM358	SAM339xSAM358
SAM339	SAM360	SAM339xSAM360
SAM339	SAM361	SAM339xSAM361
SAM339	SAM362	SAM339xSAM362
SAM339	SAM363	SAM339xSAM363
SAM339	SAM364	SAM339xSAM364
SAM339	SAM365	SAM339xSAM365
SAM339	SAM366	SAM339xSAM366
SAM339	SAM367	SAM339xSAM367
SAM339	SAM369	SAM339xSAM369
SAM339	SAM370	SAM339xSAM370
SAM339	SAM372	SAM339xSAM372
SAM339	SAM373	SAM339xSAM373
SAM339	SAM374	SAM339xSAM374
SAM339	SAM375	SAM339xSAM375
SAM339	SAM377	SAM339xSAM377
SAM339	SAM378	SAM339xSAM378
SAM339	SAM379	SAM339xSAM379
SAM339	SAM380	SAM339xSAM380
SAM339	SAM381	SAM339xSAM381
SAM339	SAM382	SAM339xSAM382
SAM341	SAM343	SAM341xSAM343
SAM341	SAM344	SAM341xSAM344
SAM341	SAM347	SAM341xSAM347
SAM341	SAM348	SAM341xSAM348
SAM341	SAM349	SAM341xSAM349
SAM341	SAM350	SAM341xSAM350
SAM341	SAM351	SAM341xSAM351
SAM341	SAM352	SAM341xSAM352
SAM341	SAM353	SAM341xSAM353
SAM341	SAM354	SAM341xSAM354
SAM341	SAM355	SAM341xSAM355
SAM341	SAM356	SAM341xSAM356
SAM341	SAM357	SAM341xSAM357
SAM341	SAM358	SAM341xSAM358
SAM341	SAM360	SAM341xSAM360
SAM341	SAM361	SAM341xSAM361
SAM341	SAM362	SAM341xSAM362
SAM341	SAM363	SAM341xSAM363
SAM341	SAM364	SAM341xSAM364
SAM341	SAM365	SAM341xSAM365
SAM341	SAM366	SAM341xSAM366
SAM341	SAM367	SAM341xSAM367
SAM341	SAM369	SAM341xSAM369
SAM341	SAM370	SAM341xSAM370
SAM341	SAM372	SAM341xSAM372
SAM341	SAM373	SAM341xSAM373
SAM341	SAM374	SAM341xSAM374
SAM341	SAM375	SAM341xSAM375
SAM341	SAM377	SAM341xSAM377
SAM341	SAM378	SAM341xSAM378
SAM341	SAM379	SAM341xSAM379
SAM341	SAM380	SAM341xSAM380
SAM341	SAM381	SAM341xSAM381
SAM341	SAM382	SAM341xSAM382
SAM343	SAM344	SAM343xSAM344
SAM343	SAM347	SAM343xSAM347
SAM343	SAM348	SAM343xSAM348
SAM343	SAM349	SAM343xSAM349
SAM343	SAM350	SAM343xSAM350
SAM343	SAM351	SAM343xSAM351
SAM343	SAM352	SAM343xSAM352
SAM343	SAM353	SAM343xSAM353
SAM343	SAM354	SAM343xSAM354
SAM343	SAM355	SAM343xSAM355
SAM343	SAM356	SAM343xSAM356
SAM343	SAM357	SAM343xSAM357
SAM343	SAM358	SAM343xSAM358
SAM343	SAM360	SAM343xSAM360
SAM343	SAM361	SAM343xSAM361
SAM343	SAM362	SAM343xSAM362
SAM343	SAM363	SAM343xSAM363
SAM343	SAM364	SAM343xSAM364
SAM343	SAM365	SAM343xSAM365
SAM343	SAM366	SAM343xSAM366
SAM343	SAM367	SAM343xSAM367
SAM343	SAM369	SAM343xSAM369
SAM343	SAM370	SAM343xSAM370
SAM343	SAM372	SAM343xSAM372
SAM343	SAM373	SAM343xSAM373
SAM343	SAM374	SAM343xSAM374
SAM343	SAM375	SAM343xSAM375
SAM343	SAM377	SAM343xSAM377
SAM343	SAM378	SAM343xSAM378
SAM343	SAM379	SAM343xSAM379
SAM343	SAM380	SAM343xSAM380
SAM343	SAM381	SAM343xSAM381
SAM343	SAM382	SAM343xSAM382
SAM344	SAM347	SAM344xSAM347
SAM344	SAM348	SAM344xSAM348
SAM344	SAM349	SAM344xSAM349
SAM344	SAM350	SAM344xSAM350
SAM344	SAM351	SAM344xSAM351
SAM344	SAM352	SAM344xSAM352
SAM344	SAM353	SAM344xSAM353
SAM344	SAM354	SAM344xSAM354
SAM344	SAM355	SAM344xSAM355
SAM344	SAM356	SAM344xSAM356
SAM344	SAM357	SAM344xSAM357
SAM344	SAM358	SAM344xSAM358
SAM344	SAM360	SAM344xSAM360
SAM344	SAM361	SAM344xSAM361
SAM344	SAM362	SAM344xSAM362
SAM344	SAM363	SAM344xSAM363
SAM344	SAM364	SAM344xSAM364
SAM344	SAM365	SAM344xSAM365
SAM344	SAM366	SAM344xSAM366
SAM344	SAM367	SAM344xSAM367
SAM344	SAM369	SAM344xSAM369
SAM344	SAM370	SAM344xSAM370
SAM344	SAM372	SAM344xSAM372
SAM344	SAM373	SAM344xSAM373
SAM344	SAM374	SAM344xSAM374
SAM344	SAM375	SAM344xSAM375
SAM344	SAM377	SAM344xSAM377
SAM344	SAM378	SAM344xSAM378
SAM344	SAM379	SAM344xSAM379
SAM344	SAM380	SAM344xSAM380
SAM344	SAM381	SAM344xSAM381
SAM344	SAM382	SAM344xSAM382
SAM347	SAM348	SAM347xSAM348
SAM347	SAM349	SAM347xSAM349
SAM347	SAM350	SAM347xSAM350
SAM347	SAM351	SAM347xSAM351
SAM347	SAM352	SAM347xSAM352
SAM347	SAM353	SAM347xSAM353
SAM347	SAM354	SAM347xSAM354
SAM347	SAM355	SAM347xSAM355
SAM347	SAM356	SAM347xSAM356
SAM347	SAM357	SAM347xSAM357
SAM347	SAM358	SAM347xSAM358
SAM347	SAM360	SAM347xSAM360
SAM347	SAM361	SAM347xSAM361
SAM347	SAM362	SAM347xSAM362
SAM347	SAM363	SAM347xSAM363
SAM347	SAM364	SAM347xSAM364
SAM347	SAM365	SAM347xSAM365
SAM347	SAM366	SAM347xSAM366
SAM347	SAM367	SAM347xSAM367
SAM347	SAM369	SAM347xSAM369
SAM347	SAM370	SAM347xSAM370
SAM347	SAM372	SAM347xSAM372
SAM347	SAM373	SAM347xSAM373
SAM347	SAM374	SAM347xSAM374
SAM347	SAM375	SAM347xSAM375
SAM347	SAM377	SAM347xSAM377
SAM347	SAM378	SAM347xSAM378
SAM347	SAM379	SAM347xSAM379
SAM347	SAM380	SAM347xSAM380
SAM347	SAM381	SAM347xSAM381
SAM347	SAM382	SAM347xSAM382
SAM348	SAM349	SAM348xSAM349
SAM348	SAM350	SAM348xSAM350
SAM348	SAM351	SAM348xSAM351
SAM348	SAM352	SAM348xSAM352
SAM348	SAM353	SAM348xSAM353
SAM348	SAM354	SAM348xSAM354
SAM348	SAM355	SAM348xSAM355
SAM348	SAM356	SAM348xSAM356
SAM348	SAM357	SAM348xSAM357
SAM348	SAM358	SAM348xSAM358
SAM348	SAM360	SAM348xSAM360
SAM348	SAM361	SAM348xSAM361
SAM348	SAM362	SAM348xSAM362
SAM348	SAM363	SAM348xSAM363
SAM348	SAM364	SAM348xSAM364
SAM348	SAM365	SAM348xSAM365
SAM348	SAM366	SAM348xSAM366
SAM348	SAM367	SAM348xSAM367
SAM348	SAM369	SAM348xSAM369
SAM348	SAM370	SAM348xSAM370
SAM348	SAM372	SAM348xSAM372
SAM348	SAM373	SAM348xSAM373
SAM348	SAM374	SAM348xSAM374
SAM348	SAM375	SAM348xSAM375
SAM348	SAM377	SAM348xSAM377
SAM348	SAM378	SAM348xSAM378
SAM348	SAM379	SAM348xSAM379
SAM348	SAM380	SAM348xSAM380
SAM348	SAM381	SAM348xSAM381
SAM348	SAM382	SAM348xSAM382
SAM349	SAM350	SAM349xSAM350
SAM349	SAM351	SAM349xSAM351
SAM349	SAM352	SAM349xSAM352
SAM349	SAM353	SAM349xSAM353
